                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7474,                 1.8236,                 1.6666,                0.52993,                0.59137,                0.53008,                0.20313,                 2.1728,                 3.8577,                 2.4322,             0.00055242,             0.00055242,             0.00055242
                      2,                 1.6799,                  1.503,                 1.6123,                0.45139,                0.42295,                0.35841,                 0.1108,                 2.3531,                 3.9959,                 2.4009,              0.0010715,              0.0010715,              0.0010715
                      3,                 1.6453,                 1.4701,                 1.5696,                0.58454,                0.51448,                0.53839,                0.21256,                 1.9489,                 2.4608,                 1.9572,              0.0015539,              0.0015539,              0.0015539
                      4,                 1.5661,                 1.3249,                 1.5154,                0.74552,                0.72615,                0.70955,                0.30513,                 1.8917,                 1.2532,                 1.8943,               0.001502,               0.001502,               0.001502
                      5,                  1.509,                 1.2384,                 1.4814,                0.76036,                0.72927,                0.74515,                0.34289,                 1.7235,                 1.1726,                 1.7282,               0.001447,               0.001447,               0.001447
                      6,                  1.471,                 1.1735,                 1.4603,                0.83878,                0.70876,                0.80729,                0.38617,                  1.751,                  1.015,                  1.754,              0.0013919,              0.0013919,              0.0013919
                      7,                 1.4213,                 1.1187,                 1.4354,                0.75757,                0.80135,                0.81817,                0.38064,                 1.6543,                  1.156,                 1.6272,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.4042,                 1.0854,                 1.4195,                0.87707,                0.77448,                0.84536,                0.41045,                 1.6777,                0.98642,                 1.6986,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.3829,                 1.0316,                 1.4085,                0.83307,                0.80772,                0.83771,                0.41414,                 1.6448,                0.94466,                 1.6382,              0.0012269,              0.0012269,              0.0012269
                     10,                 1.3565,                0.99914,                 1.3967,                0.88599,                0.84763,                0.90153,                0.46319,                 1.5729,                0.84587,                 1.5837,              0.0011719,              0.0011719,              0.0011719
                     11,                 1.3415,                0.97287,                 1.3813,                0.86801,                0.83648,                0.89367,                0.45818,                  1.549,                0.84375,                 1.5687,              0.0011169,              0.0011169,              0.0011169
                     12,                 1.3261,                0.95513,                 1.3762,                0.87792,                0.84082,                0.88743,                0.43731,                 1.6358,                0.87697,                 1.6108,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.3215,                0.92638,                 1.3654,                0.86174,                0.84464,                0.88182,                0.43548,                   1.59,                0.86789,                 1.5735,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.2923,                0.90817,                 1.3529,                0.88191,                0.86855,                0.90764,                0.44538,                 1.6561,                0.80049,                 1.6111,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.2784,                 0.8857,                 1.3428,                0.87751,                0.83704,                0.88717,                0.44813,                  1.594,                0.82791,                 1.5964,             0.00089685,             0.00089685,             0.00089685
                     16,                 1.2789,                0.87569,                 1.3413,                0.88098,                0.85742,                0.90077,                0.45547,                 1.5584,                0.79939,                 1.5741,             0.00084184,             0.00084184,             0.00084184
