                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3723,                 1.9377,                 1.4154,                0.98263,                0.99332,                  0.995,                0.34336,                 2.1848,                 1.0287,                 1.1216,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 2.8573,                 1.7671,                 1.1804,                0.98246,                0.99305,                  0.995,                0.34671,                 2.1939,                 1.0364,                  1.126,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                 3.2664,                  1.874,                 1.3048,                0.94475,                0.95804,                0.94436,                 0.3383,                 2.2025,                 1.0412,                 1.1292,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                 3.1757,                  1.816,                 1.3219,                0.98639,                0.99266,                  0.995,                0.40526,                 2.1503,                0.99466,                  1.111,             0.00010976,             0.00010976,             0.00010976
                      5,                  2.936,                 1.4296,                 1.2794,                0.95818,                0.95986,                0.98563,                0.52813,                  1.935,                0.90487,                 1.0672,             0.00013815,             0.00013815,             0.00013815
                      6,                 2.2916,                 1.2724,                 1.0515,                 0.9304,                0.96429,                0.97972,                 0.5576,                 1.7874,                0.93477,                 1.0529,             0.00016522,             0.00016522,             0.00016522
                      7,                 2.0075,                 1.0873,                0.95839,                0.86203,                0.86607,                0.93701,                0.44189,                 2.0206,                 1.0215,                 1.0821,             0.00019096,             0.00019096,             0.00019096
                      8,                 1.8638,                 1.0091,                0.99607,                 0.8392,                0.86486,                0.88688,                0.40045,                 2.1666,                 1.0819,                 1.0937,             0.00021539,             0.00021539,             0.00021539
                      9,                 1.8014,                0.90817,                0.96422,                0.75518,                0.84884,                0.89304,                0.37974,                 2.0908,                 1.0676,                  1.085,              0.0002385,              0.0002385,              0.0002385
                     10,                 1.7582,                0.90194,                0.97851,                0.84566,                0.80381,                0.89137,                0.40449,                 1.9841,                 1.0619,                 1.0711,             0.00026029,             0.00026029,             0.00026029
                     11,                 1.6056,                0.79915,                0.89343,                0.80771,                0.94825,                0.93601,                0.44359,                 1.9026,                 1.0061,                 1.0602,             0.00028076,             0.00028076,             0.00028076
                     12,                  1.652,                 0.8681,                0.92016,                0.91933,                0.96429,                0.96414,                0.47268,                 1.8711,                0.99251,                 1.0474,              0.0002999,              0.0002999,              0.0002999
                     13,                 1.7127,                0.90309,                0.88311,                0.90987,                0.96429,                0.96687,                0.46575,                 1.8705,                0.98151,                 1.0383,             0.00031773,             0.00031773,             0.00031773
                     14,                 1.4557,                 0.8105,                0.91293,                0.91413,                0.96429,                0.96847,                 0.4799,                 1.7973,                0.92897,                 1.0223,             0.00033424,             0.00033424,             0.00033424
                     15,                 1.5386,                0.79014,                0.91599,                0.93462,                0.95102,                0.96777,                0.49671,                 1.7461,                0.91399,                 1.0164,             0.00034942,             0.00034942,             0.00034942
                     16,                  1.681,                0.82737,                0.90067,                0.86599,                0.97538,                 0.9611,                0.52525,                 1.6761,                0.89838,                 1.0074,             0.00036329,             0.00036329,             0.00036329
                     17,                 1.6056,                0.77082,                0.91284,                0.86709,                0.97962,                 0.9661,                 0.5344,                 1.6541,                0.86085,                 1.0056,             0.00037584,             0.00037584,             0.00037584
                     18,                 1.4466,                0.71701,                0.88494,                0.86509,                0.98874,                 0.9661,                0.53648,                 1.6426,                0.84679,                 1.0028,             0.00038706,             0.00038706,             0.00038706
                     19,                 1.3439,                0.70322,                0.92016,                0.85745,                0.96429,                0.94609,                0.52727,                 1.6451,                0.83295,                 1.0013,             0.00039697,             0.00039697,             0.00039697
                     20,                  1.411,                0.70072,                0.93587,                0.85067,                0.96429,                0.94609,                0.51071,                 1.6524,                0.82794,                 1.0009,             0.00040555,             0.00040555,             0.00040555
                     21,                 1.3553,                0.65342,                0.91224,                0.84979,                0.96429,                0.94136,                0.51028,                 1.6798,                0.81312,                 1.0049,             0.00041282,             0.00041282,             0.00041282
                     22,                 1.4754,                0.65872,                0.93409,                0.87985,                0.96395,                0.97444,                0.51988,                 1.7096,                0.80086,                 1.0085,             0.00041876,             0.00041876,             0.00041876
                     23,                 1.4309,                0.67458,                0.91028,                0.95379,                0.86679,                0.98111,                0.51545,                 1.7152,                0.79468,                 1.0101,             0.00042338,             0.00042338,             0.00042338
                     24,                 1.3566,                0.68371,                 0.9298,                0.96377,                0.85977,                0.98111,                0.52655,                 1.7066,                0.77718,                 1.0075,             0.00042669,             0.00042669,             0.00042669
                     25,                 1.3613,                0.72937,                0.88507,                0.96886,                0.86173,                0.98111,                0.53772,                 1.6803,                0.76619,                  1.004,             0.00042867,             0.00042867,             0.00042867
                     26,                 1.4918,                0.70574,                0.96638,                0.96971,                0.86549,                0.97487,                0.54674,                 1.6435,                  0.754,                0.99808,             0.00042934,             0.00042934,             0.00042934
                     27,                 1.4141,                0.67678,                 0.8686,                 0.9708,                0.86987,                0.97487,                0.55891,                  1.615,                 0.7557,                0.99375,             0.00042868,             0.00042868,             0.00042868
                     28,                 1.4385,                0.66827,                  0.905,                0.96795,                0.90231,                0.97864,                0.58173,                 1.5878,                0.74698,                0.99223,              0.0004267,              0.0004267,              0.0004267
                     29,                 1.1848,                0.61248,                0.90698,                0.93384,                0.88225,                0.96682,                0.60069,                 1.5822,                0.74049,                 0.9955,              0.0004234,              0.0004234,              0.0004234
                     30,                 1.3336,                0.69791,                0.90343,                0.93496,                 0.8797,                0.96629,                0.60955,                   1.57,                 0.7409,                0.99769,             0.00041879,             0.00041879,             0.00041879
