                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4383,                 1.6473,                 1.0961,                0.00061,                0.05325,                0.00032,                0.00012,                    nan,                    nan,                    nan,             0.00065556,             0.00065556,             0.00065556
                      2,                 1.2415,                0.72546,                0.98853,                0.00061,                0.05325,                0.00032,                0.00012,                    nan,                    nan,                    nan,              0.0011913,              0.0011913,              0.0011913
                      3,                 1.2595,                0.79044,                 1.0011,                0.00061,                0.05325,                0.00032,                0.00012,                0.08047,                    inf,                 28.051,              0.0015951,              0.0015951,              0.0015951
                      4,                 1.1693,                0.64284,                0.97042,                0.84104,                 0.9079,                0.85759,                  0.547,                 1.1743,                0.90001,                0.97575,               0.001406,               0.001406,               0.001406
                      5,                  1.104,                0.59916,                0.95012,                0.82679,                0.81908,                0.76734,                0.52703,                 1.1096,                0.96175,                0.95833,               0.001208,               0.001208,               0.001208
                      6,                 1.0407,                0.55444,                0.93045,                0.92472,                0.98817,                0.95763,                0.71543,                0.93945,                0.52985,                0.91063,                0.00101,                0.00101,                0.00101
                      7,                0.97798,                0.51563,                0.91513,                0.99944,                      1,                  0.995,                0.78216,                0.90481,                0.39318,                0.89281,               0.000812,               0.000812,               0.000812
                      8,                0.92875,                 0.4662,                0.88844,                0.99956,                      1,                  0.995,                0.79081,                0.85868,                0.37807,                0.88711,               0.000614,               0.000614,               0.000614
                      9,                0.90881,                0.43357,                0.88398,                0.99957,                      1,                  0.995,                0.80827,                0.80694,                0.36206,                0.87349,               0.000416,               0.000416,               0.000416
                     10,                0.85553,                0.40462,                0.87609,                0.99971,                      1,                  0.995,                0.80632,                0.78958,                0.33793,                0.87059,               0.000218,               0.000218,               0.000218
